activitat_,nom_abocam,Punt2
"COPERFIL OBRAS Y SERVICIOS, SA","RIERA DE RAPIOLES COPERFIL GROUP,SA",334
"RESTAURANT CAN NET, SL",022000000137,340
AJUNTAMENT DE SAT FELIU DE BUIXALLEU - EDAR URB. CAN NOGUERA,AJUNTAMENT DE SANT FELIU DE BUIXALLEU - URB. CAN NOGUERA (SORTIDA DEPURADORA),353
"MIRFER, SA","MIRFER, SA_2",
CEDIPSA (E.S.BELLATERRA I-II),ES BELLATERRA II (SORTIDA TRACTAMENT),287
"ÀRIDS I CONSTRUCCIONS GIL, SL","ÀRIDS I CONSTRUCCIONS GIL, SL",11
JUNTA DE COMPENSACIO SAU-5,JUNTA DE COMPENSACIÓ SAU-5: TORRENT DE SAMALÚS,312
"SERVEIS MUNICIPALS DE RIUDARENES, SA",RIERA SANTA COLOMA 1 (SANITÀRIES),374
"SUPERMERCADOS LLOBET, SA","Abocament FUNDICION PUJOL MUNTALA, SA",244
"TINTES IGUALADA, SA","TINTS IGUALADA, SA (SORTIDA SANITÀRIES, PROCÉS I PURGUES)",153
"AUTEMA, SA",AUTEMA SA (TRACTAMENT OFICINES DEL PEATGE DE TERRASSA-LES FONTS),115
"JIMENEZ MUÑOZ, MANUEL (BIG FAI, RESIDENCIA CANINA)",Abocament BIG FAI (Residència canina),308
"GESTORA DE RUNES DE MUNTANYA, SL",GESTORA DE RUNES DE MUNTANYA (AIGÜES DE DRENATGE),278
"ECOLOGIA QUIMICA, SA","ABOC. ECOLOGIA QUIÍMICA, SA: 021992000049 (PO GUALBA)",346
"ECO-GIRONINA DE DEPÒSITS, SL","ECOGIRONINA DE DIPOSITS, SL (AIGÜES PLUVIALS)",423
"MADOBE 1307, SL","RIERA DE PONTONS (AUTOFLOT, SL)",79
ALEXANDRALOG SPNE02 SL,"LPFE FOGARS, SL",360
"PAGES DE ROFES, SL",PAGÈS DE ROFES (SORTIDA DEPURADORA BIOLÒGICA),149
"CAN PIPA, SL","CAN PIPA, SL  (SANT PERE PESCADOR)  2",509
"RANKE QUIMICA, SA","RANKE QUIMICA, SL: 021999005121 - AB 1",345
"MOVIL, SA  -E.S. CAMPRODON-",E.S. CAMPRODON  (SORTIDA SEPARADOR HIDROCARBURS),503
"SEGARRA GUITART, PEDRO (ESCORXADOR D'AUS I CONILLS)",Abocament PERE SEGARRA GUITART - Torrent Mas Rovira,142
"SANT DALMAI, SAU","SANT DALMAI, SA (SORTIDA DEPURADORA+REFRIGERACIÓ)",422
"EXPLOTACIONS FUNERARIES, SL","EXPLOTACIONS FUNERARIES, SL (SORTIDA DEPURADORA)",187
"ESTACIÓ DE SERVEI AVINYONET, SL","ESTACIO DE SERVEI AVINYONET, S.L - (SORTIDA DEPURADORA)",528
"APLICA, SL (E.S.VIDRERES - MARGE DRET)",AA2003000237,372
AAVV SOL I AIRE (NUCLI URBÀ SOL I AIRE),URBANITZACIÓ SOL I AIRE: TORRENT DE LES MONELLES,285
AJUNTAMENT DE BERGA,AJUNTAMENT DE BERGA -BAR RESTAURANT PARATGE FONT NEGRA (SORTIDA DEPURADORA),275
EDAR URBANITZACIÓ VALLDEMAR,EDAR URBANITZACIÓ VALLDEMAR - CASTELLET I LA GORNAL,
MANC.INTERM.MARTORELLES I STA.Mª MARTORELLES,NOU CEMENTIRI MARTORELLES: TORRENT INNOMINAT TRIBUTARI DEL TORRENT DE LES LICORELLES,303
"NAVARRETE VILCHEZ, TOMÀS  -RESTAURANT CAN CABATXÓ-",JOSE TOMAS TABERNER (SORTIDA DEPURADORA),374
"DIPÒSIT DE RUNA TERRA NEGRA, SL","ARIDOS HERMANOS CURANTA, SA (SORTIDA BASSA DE DECANTACIÓ)",
"AUTOPISTES DE CATALUNYA, SA","AUTOPISTES DE CATALUNYA, SA (PEATGE CUBELLES)- SORTIDA DEPURADORA",
"MASIA CAN FERMI, CB","MASIA CAN FERMI, CB: RIERA DE MARGANELL",195
"GWENAËLLE GAUTIER, MAÏNA",Abocament MAÏNA GWENAUËLLE GAUTIER - Riera de Balà,581
"CERVERA CORTADA, MANEL (CAMPING MONTSENY)",ABOC.CAMPING MONTSENY: 021993000050,337
"PALAU I FILLS, SA","RIERA DE CUFORB (PALAU I FILLS, SA)",272
"CASTELL D'OR, SL","CASTELL D'OR, SL - VILA-RODONA",58
"IMPRESS DISEÑO IBERIA, SA","MASA - DECOR, SA_Abocament (Torrent del Joncar)",323
"JANÉ COLL, GABINO",MASIA CAN JANÉ (SORTIDA TRACTAMENT),285
"CONSTRUCCIONS ENRIC RUSCALLEDA, S.L",FINCA CAN BALANDRIC: Abocament,380
LA BALCHETA RECICLAJE SL,RECUPERACION Y RECICLAJE DE RESIDUSO_Riera de Rubí,585
"BALDOSAS VALLES, SL","BALDOSAS DEL VALLÈS, SL",185
"CAMPING MORUNYS, SL","RIU CARDENER (CAMPING MORUNYS, SL)",238
"GARVE , SA",022001000236 - AB 1,157
"GALP DISTRIBUCION OIL ESPAÑA, SA (MONTCADA NORD)","GALP DISTRIBUCION OIL ESPAÑA, SAU ES MONTCADA (SORTIDA DEPURADORA)",607
"AFFINITY PETCARE, SA","AFFINITY PETCARE, SA",132
AJUNTAMENT DE VIMBODÍ,AJUNTAMENT DE VIMBODÍ I POBLET (ZONA ESPORTIVA) (SORTIDA DEPURADORA),43
"ESTACIONS DE SERVEI VIURA-GINESTA, SL",ES VIURA GINESTA: RIERA DEL SOT GRAN,346
"ENDESA GENERACION, SA  -C.H. SAU-",ENDESA GENERACION VILANOVA DE SAU (Abocament sanitàries),454
AJUNTAMENT D'ALCOVER (EDAR ROQUES ROGES),"COL·LECTOR DE PLUVIALS DEL POL. IND: ROQUES ROGES AL BARRANC DE LA FONT MAJOR,  RIU FRANCOLÍ",37
HOTEL RESTAURANT SOL I VI,"Abocament HOTEL RESTAURANT OL I VI, SL (022000000243)",142
"LOGIVIT, SL","LOGIVIT, SL",601
"MECANIZADOS RODRIGUEZ HERMANOS, SL.","MECANIZADOS RODRIGUEZ HERMANOS, SL",120
"BODEGUES SUMARROCA, SL","ABOCAMENT 1 BODEGUES SUMARROCA, SL",134
CONSORCI DE SERVEIS SOCIALS DE BARCELONA,CONSORCI SERVEIS SOCIALS BARCELONA (CAN PUIG): TORRENT DE SALAMANDRA,288
"FUSTERIA GURDO, SL","Abocament FUSTERIA GURDO, SL - riu Tordera",353
"MAS-BAGÀ BLANC, MANEL",MANEL MAS-BAGÀ BLANC,106
"CARBONERES PEDRAFORCA, SA",CARBONES PEDRAFORCA SA (Abocament 3: sanitàries oficines),590
DIPUTACIÓ DE BARCELONA - MARQUET DE LES ROQUES,DIPUTACIÓ DE BARCELONA - MARQUET DE LES ROQUES (SORTIDA DEPURADORA),295
AJUNTAMENT DE CAMPINS (URBANITZACIÓ LES ESPLANES),AJUNTAMENT DE CAMPINS_URBANITZACIÓ LES ESPLANES (SORTIDA DEPURADORA),344
CONSORCI GESTIÓ RESIDUS URBANS D'OSONA -DIPÒSIT CONTROLAT-,ABOCADOR D'ORÍS (SORTIDA SOBREEIXIDOR BASSA PLUVIALS VAS B),482
"PARCS AQUÀTICS DE LA COSTA BRAVA, SL  -AQUADIVER-",AQUADIVER  (AIGUA BUIDAT I RENTAT PISCINA ONADES),
"TORRENT CUFÍ, FRANCESC  -MAS PATIRÀS-",FRANCESC TORRENT CUFÍ (SORTIDA TRACTAMENT),388
"CLAUDI ROCA, S.L.","Abocament CLAUDI ROCA, SL - riera de la Riba",271
"INDUSTRIAS DEL ENVASE Y CONTRACHAPEADOS, SA (IDENCO)",IDENCO  (SORTIDA DEPURADORA EMPRESA),
"INDOCAR REUS, SCCL","Abocament INDOCAR, SCCL - pou d'infiltració",15
CONSELL COMARCAL DE L'ALT EMPORDÀ,CONSELL COMARCAL DE L'ALT EMPORDÀ -ZONA ESPORTIVA ELS GORGS- (SORTIDA DEPURADORA),576
"INVERSIONS PETROLIFERS, SL","GESDIP, SAU -CENTRE COMERCIAL- (SORTIDA DEPURADORA)",472
"COLÒNIES ROSA DELS VENTS, SA","COLÒNIES ROSA DELS VENTS, SA (CAN MUNDET): TORRENT DE L'ABEURADOR",368
ESTACIO SERVEI CEDIPSA (AREA SERV. MONTSERRAT),Abocament: Estacions de servei Montserrat: Riera Sanana (Torrent del Sellerès),192
"INICIATIVAS TURÍSTICAS, SAU  -CÁMPING EL DELFÍN VERDE-",CAMPING EL DELFIN VERDE  (SORTIDA DEPURADORA EMPRESA),
EDAR LA NOU DE BERGUEDÀ,EDAR LA NOU DE BERGUEDÀ,278
"PRECUITS, SL",PRECUITS SL_POLÍGON INDUSTRIAL LA SERRETA (SORTIDA DEPURADORA),244
FUNDACIÓ PRIVADA RESILIS,FUNDACIÓ PLATAFORMA EDUCATIVA (SORTIDA DEPURADORA),404
"RECUPERAUTO PALAFOLLS, SL","Abocament  2 RECUPERAUTO PALAFOLLS, SL (decantador)",331
JUNTA DE COMPENSACIO PLA PARCIAL SECTOR LA GOBA DE VIDRERES,ABOC. JUNTA COMPENSACIO PLA PARCIAL SECTOR LA GOBA DE VIDRERES - RIERA RECLAR,369
"UNION INDUSTRIAL PAPELERA, SA","AB. 2 RIU ANOIA - SORTIDA PROCÈS (UNION INDUSTRIAL PAPELERA, SA)",155
"GRUAS Y PORTAVEHICULOS PEDRO, SL",TORRENT DE L'ESPELT (PEDRO JOSE FERNANDEZ SIMON),164
"PORDAMSA, SL","PORCELANAS DEL AMPURDAN, SL (SORTIDA TRACTAMENT)",393
"FUNDICION MARTINEZ, S.A.","abocament FUNDICIONES MARTINEZ,SA - torrent del guix",243
"CÀMPING ABADESSES, SL",CAMPING ABADESSES SL (sortida depuradora),502
"DS SMITH PACKAGING PENEDES, SA","CARTONAJES DEL PENEDÉS, S.A. (SORTIDA DEPURADORA)",146
"CASA WESTFALIA,SA","Abocament 2 CASA WESTFALIA, SA - riera de Vulpellac",388
"ENDESA DISTRIBUCIÓN, SL (SE SILS)","ENDESA DISTRIBUCION ELECTRICA, S.L -SE SILS- Abocament sanitàries",366
"CELLER EL MAS PUJO, SA",CELLER MAS PUJO (RIERA DE LLITRÀ),72
"HOTEL MAS LA FERRERIA, SL",RIERA DE STA. MARGARIDA,578
AAVV SOL I AIRE (NUCLI URBÀ SOL I AIRE),AAVV SOL I AIRE (SORTIDA TRACTAMENT C FONT RICA 6),285
"MADERERA GERUNDENSE, SA",MADERERA GERUNDENSE SA (SORTIDA DEPURADORA) (2),374
ESCOLA DE NATURA MAS PAGÈS,ESCOLA DE NATURA MAS PAGÈS  (SORTIDA DEPURADORA EMPRESA),401
"MARIA CRUZ MIMBRERA I ALTRES, CB -TURISME RURAL MAS SERENA-",MARIA CRUZ MIMBRERA DOMINGO I ENRIC VALLES RODOREDA,430
CEDIPSA - ESTACIO DE SERVEI MONTBLANC,AA2003000357- Rasa de Sant Miquel,46
CAN BONDIA RESTAURANT SL,JACINTO VERDAGUER COLOMER (SORTIDA DEPURADORA),292
LLOGUERS TOLEDO CB,LLOGUERS TOLEDO CB (SORTIDA DEPURADORA),382
AJUNTAMENT DE CASTELLVÍ DE ROSANES (POL.IND. ROSANES),AJUNTAMENT DE CASTELLVÍ DE ROSANES (POL. IND.),122
"GESTORA DE RUNES DEL BAGES, SL","GESTORA DE RUNES DEL BAGES, SL_Abocament (Riu Cardener)",227
CEDIPSA - ESTACIÓ DE SERVEI,022001000180 - Riera de Llitrà (Foix),74
"COLELL COMELLAS, CONCEPCIÓ",CONCEPCIÓ COLELL COMELLAS (SORTIDA DEPURADORA),238
"DIPLOVER, SL (CLUB HIPIC OPEN)","DIPLOVER SL, ESCOLA D'HÍPICA (SORTIDA DEPURADORA ZONA DUTXA DELS CAVALLS)",95
"GARECOSAN VOLTREGA, SL","GARECOSAN VOLTREGA,SL (ABOCAMENT)",475
"FRIGORÍFICS DE L'EMPORDÀ, SA  -FRIDASA-","FIGORÍFICS DE L'EMPORDÀ, SA  -FRIDASA-  (SORTIDA PROCÉS+SANITÀRIES)",525
"PADRÓS FAJULA, LLUÍS  -MAS REPUNTXÓ-",RESTAURANT MAS REPUNTXÓ (SORTIDA DEPURADORA EMPRESA),502
"AUTOGRÚAS SANT JORDI, SL",AUTOGRUAS SANT JORDI (ABO 2),132
CEDIPSA E.S.MALGRAT (2579) DIRECCIÓ BCN,CEDIPSA MALGRA DE MAR I (SORTIDA DEPURADORA),
ENTITAT DE CONSERVACIO DEL PLA PARCIAL CAN TORRELLA,POLÍGON INDUSTRIAL CAN TORRELLA _ EUCPP (SORTIDA DEPURADORA),175
ASSOC D'AMICS DE SANT ANIOL D'AGUJA -REFUGI SANT ANIOL D'AGUJA,CTAT. USUARIS AMICS DE SANT ANIOL D'AGUJA (SORTIDA DEPURADORA),549
SAT N  3021  -L'ARMENTERA FRUITS N 345 CAT-,"ARMENTERA FRUITS: REC DEL MOLÍ, TRIBUTARI DEL RIU VELL",577
AJUNTAMENT DE CALDES DE MALAVELLA  (URB. CAN CARBONELL),EUC CAN CARBONELL sortida EDAR  al Rec Clar,368
"SÁNCHEZ REBELLES, MARIO (FINCA MONTMANY)",MARIO SÁNCHEZ REBELLES,313
"VALLEJO FIDALGO, E.MIQUEL",E.MIQUEL VALLEJO FIDALGO (SORTIDA DEPURADORA),250
URBANITZACIO DE SANT MARTI SESPERXES,"Abocament URBANITZACIO SANT MIQUEL SESPERXES PARK, SL (torrent del Sot de les Valls)",309
FUNDACIÓ PRIVADA SANT MEDIR,FUNDACIÓ PRIVADA SANT MEDIR  (SORTIDA DEPURADORA),285
"DIPLOVER, SL (CLUB HIPIC OPEN)","DIPLOVER SL, ESCOLA D'HÍPICA (SORTIDA DEPURADORA AIGÜES RESIDUALS ASSIMILABLES A DOMÈSTIQUES)",95
"CAMPSA ESTACIONES DE SERVICIO, SA (ES VALLÈS)",ESTACIÓ DE SERVEI VALLÈS (ÀREAS DIRECCIO GIRONA). RIERA DE POLINYÀ,298
CONSORCI DE L'ESTANY,CONSORCI DE L'ESTANY  - GRANJA DE CASA NOSTRA - (SORTIDA DIPÒSIT DE DECANTACIÓ),412
"UNION INDUSTRIAL PAPELERA, SA","AB. 1 RIU ANOIA - SORTIDA DOMÈSTIQUES (UNION INDUSTRIAL PAPELERA, SA)",155
"GESTIÓ DE COLÒNIES, SL","ABOCAMENT- GESTIÓ DE COLÒNIES, SL - RIU EL RIGARD",494
"GREEN PLANET EVENTS, SL","GREEN PLANET EVENTS, SL (SORTIDA TRACTAMENT SANITÀRIES)",317
CLUB DE TENIS SANT GERVASI,CLUB DE TENIS SANT GERVASI (SORTIDA DEPURADORA),99
"SERRADORA CUNILL, SLU",RIEROL INNOMINAT (SERRADORA CUNILL SLU),448
"AHLSTROM BARCELONA, SAU","ABOCAMENT AHLSTROM BARCELONA, SAU",153
"SISTEMAS DE EMBALAJE SORSA, SA",SISTEMA DE EMBALAJE SORSA (SORTIDA DEPURADORA),587
"RESIDUS DEL BAGES,S.L.",RESDIDUS DEL BAGES FOCUS: B (VESTIDORS),212
"QUALITAT D'OBRES, SL","TORRENT DE SANT JOAN (QUALITAT D'OBRES,SL)",
CLUB DE GOLF CAMPRODON,CLUB DE GOLF CAMPRODON  (SORTIDA SOBREEIXIDOR FOSSA SÈPTICA),506
"AIGÜES DE MANRESA, SA (BARRI LA GUIA)","AIGÜES DE MANRESA,SA (BARRI LA GUIA): RIU CARDENER",212
"CACENCA, S.L.","RIERA INNOMINADA  I RIU ANOIA (CACENCA, S.L.)",130
"MOLI PARK HOTEL, SL",MOLÍ PARK HOTEL SL (SORTIDA DEPURADORA),523
AJUNTAMENT D'OLIVELLA,AJUNTAMENT D'OLIVELLA (punt de mostreig),86
AJUNTAMENT DE SANT ESTEVE SESROVIRES - POL.IND. ANOIA,POLÍGON INDUSTRIAL ANOIA_SANT ESTEVE SESROVIRES (SORTIDA DEPURADORA),122
"ALDI MONTORNES SUPERMERCADOS, SL","TORRENT CAN ESTEVE - ALDI MASQUEFA SUPERMERCADOS, SL",132
"MAR RICO, SL  -RESTAURANT SANTA ANA-","MAS RICO, SL -RESTAURANT SANTA ANNA- (SORTIDA DEPURADORA)",573
"IBERINOX 88, SA","Abocament 4 IBERINOX 88, SA Riera de la Salut aigües pluvials",101
ARIDS GARCIA PEDRERA GAR 1 SL,"ARIDS GARCIA CANTERES GRANITIQUES, SL (SORTIDA DEPURADORA)",326
"LAROMAINE I DILME, SL","LAROMAINE I DILMÉ, SL (SORTIDA FOSSA+FILTRE)",421
"AREAS, SA - A.S.DEL MONTSENY","AA2004002075-ÀREA DE SERVEI DEL MONTSENY (AREAMED 200, S.A.)",325
"FOLCH,S.A.","RIU ANOIA - FOLCH, SA",171
"FUNDICION PUJOL MUNTALA, SA","Abocament FUNDICION PUJOL MUNTALA, SA",244
FUNDACIO CATALANA DE L'ESPLAI -CASA COLÒNIES CAN MATEU-,ASSOCIACIÓ CATALANA DE CASES DE COLÒNIES - CAN MATEU (depuradora),454
CONSELL COMARCAL SOLSONES,ABOCAMENT ABOCADOR CONSELL COMARCAL SOLSONÈS A CLARIANA DE CARDENER (PLUVIALS SEMINETES),235
"MECANICA I PLANXA ALCOVER, SCP","MECANICA I PLANXA ALCOVER, SCP  (SORTIDA PRETRACTAMENT)",37
"CARBURANTS J. SOLANAS, SL",022002000002-Torrent Bo (tributari del Llobregat),119
"FERNANDEZ MARCENARO, FERNANDO",Abocament FERNANDO FERNANDEZ MARCENARO - riera de metge,605
"NOEL ALIMENTARIA, SAU - PLANTA SANT ESTEVE D'EN BAS-","HERMANOS FONT VERDAGUER, SA (SORTIDA PROCÉS, SANITÀRIES I REFRIGERACIÓ)",531
"CEMENTOS MOLINS INDUSTRIAL, SA","CEMEX SANT FELIU DE LLOBREGAT, ABOCAMENT SANITÀRIES A BARRANC SARDANET",100
"PETROPALOL, SL","PETROPALOL, SL (SORTIDA TRACTAMENT)",409
"GALP DISTRIBUCION OIL ESPAÑA, SA (MONTCADA NORD)","GALP DISTRIBUCION OIL ESPAÑA, SAU ES MONTCADA (SORTIDA HIDROCARBURADES)",607
FUNDACIÓ CATALANA PER L'ESPORT DEL MOTOR,FUNDACIÓ CATALANA PER L'ESPORT DEL MOTOR -HIDROCARBURADES I SANITÀRIES- (SORTIDA DEPURADORA),160
"MATAVERA FONT, JOSEP M.",abocament JOSEP M. MATAVERA FONT - riera de la Tria,315
"CODORNIU, SA","CODORNIU, SA (SORTIDA SANITÀRIES, PROCÉS I NETEJA)",171
"IBERMETALL (IBÈRICA DE METALLS I RECERCA, SA)","IBÈRICA DE METALLS I RECERCA, SA ( SORTIDA SANITÀRIES)",5
JUNTA DE COMPENSACIÓ CAN COROMINES,JUNTA DE COMPENSACIÓ CAN COROMINES (SORTIDA DEPURADORA),177
"LLOBET COMES, BLAI",abocament  - BLAI LLOBET COMES - rasa de Cal Grill,232
"HIJOS DE JOSÉ CASAPONSA, SA",Hijos de José Casaponsa_Aigües de refrigeració,543
"T 500 PURATOS, SA",ABOC.T500 PURATOS - TORRENT DE CAN RABASSA,366
"TURMO VALLÈS, SL","TURMO VALLÈS, S.L (sortida depuradora) -  Torrent del Sot del Fou",611
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIAS ESPAÑOLA, SAU   (PEATGE SANT CELONI), SORTIDA DEPURADORA",334
"ISANT SALA, RAMON (PNEUMATICS SERVEI 3)",RAMON ISANT SALA: TORRENT INNOMINAT TRIBUTARI DEL TORRENT DEL FOGUERAR,320
"ESTACIÓ SERVEI MASET, SAU  -E.S. PEDRET I MARZÀ-","ESTACIÓ DE SERVEI MASET, SA (SORTIDA AIGÜES SANITÀRIES)",516
"POSIBLEMENTE LA MEJOR CASA RURAL DE GIRONA, SL -TURISME RURAL-",CASA RURAL (SORTIDA A LLERA SENSE EDAR),571
ESTACIO DE SERVEI JORBA,"ESTACIÓ DE SERVEI JORBA, SL (SORTIDA TRACTAMENT)",168
"GRAU, SA","ABOCAMENT GRAU, S.A. (PROCÉS, SANITÀRIES, NETEGES I ALTRES)",294
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU LA JONQUERA  (SORTIDA TRACTAMENT 3)",519
CONSELL COMARCAL DEL BERGUEDÀ,"CONSELL COMARCAL DEL BERGUEDÀ, ABOCAMENT SANITÀRIES. FOCUS 1",274
"ESTACIÓ DE SERVEI ESTEVE, SL","Abocament ESTACIO DE SERVEI ESTEVE (TOTALFINAELF, SA). Riu Llobregat",103
"INFRAESTRUCTURES VIARIES DE CATALUNYA, SA","INFRAESTRUCTURES VIARIES DE CATALUNYA, SA  (C-32 SORTIDA 92) SEPARADOR D'HIDROCARBURS",
AJ. DE SANT JULIÀ DE VILATORTA (SANT JULIÀ DE VILATORTA),AJUNTAMENT DE SANT JULIÀ DE VILATORTA (VILALLEONS),470
ENRIC PLADEVALL VILA,Abocament ENRIC PLADEVALL VILA - torrent de la Reguera,
"INDUSTRIA DE ACABADOS ESPECIALES SAMA, SL","INDUSTRIA DE ACABADOS ESPECIALES SAMA, SL (AIGÜES SANITÀRIES)",171
"SERVEIS MUNICIPALS DE RIUDARENES, SA",RIERA SANTA COLOMA 1 (PLUVIALS),374
"CONSTRUCCIONS FUSTÉ, SA  -RIUDELLOTS-",CONSTRUCCIONS FUSTÉ S.A (decantador i separador d'hidrocarburs),425
REPSOL - E.S.SANT PERE DE SALLAVINERA,TORRENT AFLUENT DE LA RIERA DE RAJADELL (REPSOL-E.S. SANT PERE SALLAVINERA),211
"COLÒNIES R V, SA  -CASA DE COLÒNIES POU DE GLAÇ-",CASA DE COLONIES ROSA DELS VENTS - POU DE GLAÇ  (SORTIDA DEPURADORA EMPRESA),387
"FONTAGA, SA",FONTAGA SA (SANITÀRIES + NETEGES INSTAL·LACIONS),492
"AREAS, SA  (ÀREA DE LA TORDERA)","AREAMED 2000, S.A E.S DE TORDERA (SORTIDA TRACTAMENT)",
AENA SME SA  -GIRONA COSTA  BRAVA-,AENA (AEROPORT GIRONA COSTA BRAVA)  (SORTIDA DEPURADORA),424
"FERRER INTERNACIONAL, SA","ABOC.FERRER INTERNACIONAL, SA  (LLERA)",353
EDAR SANT PERE SACARRERA,ABOC EDAR SANT PERE SACARRERA,151
"MADERERA GERUNDENSE, SA","MADERERA GERUNDENSE, S.A (sortida depuradora)",366
"COMPAÑIA ESPAÑOLA DISTRIBUIDORA DE PETROLEOS, S.A CEDIPSA",ES SANT JORDI: RIU CARDENER,204
C.N VANDELLOS II OFICINES,ASOCIACIÓN NUCLEAR ASCÓ-VANDELLÒS-SORTIDA DEPURADORA ENGINYERIA,
ACABADOS FUNDICION S.L.,Abocament AA2002000530,204
"OBERTHUR TECHNOLOGIES IBERICA, SAU","Abocament OBERTHUR CARD SYSTEMS IBERICA, SASU - riera de Corbera",105
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU -PEATGE GIRONA SUD (SORTIDA TRACTAMENT)",436
"HERAS COLOMER, NÚRIA",NÚRIA HERAS COLOMER (SORTIDA PRETRACTAMENT),371
FUNDACIÓN SALUD Y COMUNIDAD  -CENTRE TERAPÈUTIC-,FUNDACIÓ SALUT I COMUNITAT  (SORTIDA DEPURADORA),461
"SOLER JOVE, SL",Abocament SOLER JOVÉ - Torrent de Prunamala,136
URB . RESIDENCIAL DE CAN MITJANS,RIERA DE BEGUES (JUNTA DE COMPENSACIÓ DE CAN MITJANS),89
"CASADELLA QUER, ESTEVE",ESTEVE CASADELLA QUER (SORTIDA PRETRACTAMENT),579
"AUDI TOOLING BARCELONA, SL","AUDI TOOLING BARCELONA, SL",171
"PLASTIN, SAU",PLASTIN SAU,473
"FAÑÉ CARBONÉS, JAUME",JAUME FAÑÉ CARBONÉS,387
FONDA RURAL CAL JOAN DEL BATLLE,"CAL JOAN DEL BATLLE, S.L - sortida depuradora",240
CONSELL COMARCAL DE LA GARROTXA -DIPÒSIT CONTROLAT BEUDA-,ABOCADOR BEUDA (ABOCAMENT LIXIVIATS TRACTATS),618
CONSELL COMARCAL DEL RIPOLLÈS,CONSELL COMARCAL DEL RIPOLLES - REFUGI ANIMALS: RIERA DEL MAIOL,490
"SANFEPLAST,SA",SANFEPLAST-Riera de Relat,257
"PARC DE BELLOCH, SL",PARC DE BELLOCH (SORTIDA DEPURADORA),320
"BAQUE ESTEBE, JAUME -TURISME RURAL MAS PERE-PAU","BAQUE ESTEBE, JAUME (TURISME RURAL) (SORTIDA DEPURADORA)",515
CEDIPSA   -E.S. 33.821 PONTOS I  I PONTOS II-,ESTACIÓ DE SERVEI PONTÓS II: RIU FLUVIÀ,573
"ALBET I NOYA, SL",ALBET I NOYA SL (SORTIDA TRACTAMENT),138
"SAVASUN, S.A.","SAVASUN,SA -Barranc dels Gorgs",2
"VALLS AUTOMOCIO, SL","VALLS AUTOMOCIÓ, SL : RIERA D'ARBÚCIES",349
"AREAS, SA  (ÀREA DE MONTBLANC)",ABOCAMENT AREAMED2000-ÀREA DE SERVEI MONTBLANC,46
"RAMON VENTULÀ, SA   -LA CANTINA-","RAMON VENTULÀ, SA  (RIUDAURA)  (SORTIDA PRETRACTAMENT)",539
"FUNDEL, SL",Abocament 021999001824,204
"CODELFE PENEDÈS 2006, SL",POLÍGON INDUSTRIAL LES PLANES BAIXES -AJ.LA BISBAL DEL PENEDÈS (SORTIDA DEPURADORA -ABOCAMENT LLERA),63
S.A. TINTES TEXTILES-81,"TINTES TEXTILES, SA (SORTIDA PROCES I SANITARIES)",188
"ACEROS PARA LA CONSTRUCCION, SA","Abocament 2 ACEROS PARA LA CONSTRUCCION, SA -",68
"CERÁMICA FERRÉS, SL","REC DEL MOLÍ (CERAMICA FERRES, SA)",390
"PIVEMA, SA","RIERA DE CALDES (PIVEMA,SA)",299
"MECANIZADOS BUSQUÍ, SL",POL IND SUD A RIERA RUBI,113
"MASIA MONTCORP, SL",JAUME SOLER SAÑÉ (SORTIDA DEPURADORA),375
"VESPELLA D'ESPLAI, SL  -CASA DE COLÒNIES-",AA2002000694 (TORRENT DE LA COROMINA),465
"IBERPOTASH, SA  - MINA SALLENT",IBERPOTASH (SORTIDA SANITÀRIES),264
"AUTOPISTES DE CATALUNYA, SA","AUTOPISTES DE CATALUNYA, SA (AIGÜES DE NETEJA DE LES VIES) SORTIDA DEPURADORA",
URBANITZACIÓ DE CAN BORULL,Abocament: URBANITZACIÓ DE CAN BORULL - Riera de Vallvidrera,110
"CENTRE DE JARDINERIA SANT NARCÍS, SL","Aigües sanitàries: CENTRE DE JARDINERIA SANT NARCIS, SL",435
"MONT MARÇAL VINICOLA, SA",MONT MARÇAL VINICOLA SA (Sortida depuradora),69
CENTRE EDUCATIU L'ALZINA,CENTRE EDUCATIU L'ALZINA- SORTIDA DEPURADORA,303
AUTORITAT PORTUÀRIA DE TARRAGONA (TARRAGONA),AUTORITAT PORTUÀRIA DE TARRAGONA (SORTIDA TRACT.NÚM.19) RIU FRANCOLÍ,
"ELECTRODOMESTICOS DE CATALUNYA, SA","TORRENT DE CAN BARGALLÓ (ELECTRODOMESTICOS DE CATALUNYA, SA)",171
"TORELLO LLOPART, SA",TORELLO LLOPART SA (SORTIDA DEPURADORA),133
EL VALLÈS GOLF DE TERRASSA,Abocament EL VALLES GOLF DE TERRASSA - torrent Can Canya,125
"E.ON GENERACION, SL (CENTRAL TERM. DE CERCS)",ENEL VIESGO GENERACIÓN TÉRMICA SL (TOTAL: REFRIGERACIÓ +INDUSTRIALS),278
"CONSTRUCCIONES MECÁNICAS LLAMADA, SL","TORRENT DEL CLAVETAIRE  (CONSTRUCCIONES MECANICAS LLAMADA, SL)",320
